record_id,contract_id,clause_text,primary_category,all_categories,is_multilabel,matched_keywords,token_count_approx,category_risk_signal,model_confidence,template_deviation_signal,keyword_risk_signal,risk_score,advisor_risk_label,dataset_split,source_type
11,CTR-10011,Assignment following a prior written consent requires notice to the customer.,Assignment,Assignment,False,prior written consent,11,0.4,0.77,0.17,0.33,40.2,Low,Train,Synthetic
12,CTR-10012,Obligations concerning proprietary information survive termination for 2 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.86,0.24,0.22,41.6,Low,Train,Synthetic
13,CTR-10013,The parties submit to the governed by of courts located in Delaware.,Governing Law,Governing Law,False,governed by,12,0.2,0.88,0.29,0.1,33.9,Low,Train,Synthetic
14,CTR-10014,Assignment following a assign requires notice to the customer.,Assignment,Assignment,False,assign,9,0.4,0.95,0.2,0.2,42.0,Low,Train,Synthetic
15,CTR-10015,The recipient must not disclose proprietary information to any third party without prior written consent.,Confidentiality,Confidentiality,False,proprietary information,15,0.4,0.92,0.4,0.22,46.8,Medium,Validation,Synthetic
16,CTR-10016,Supplier accepts unlimited liability for losses arising from breach of security obligations. Obligations concerning non-disclosure survive termination for 3 years.,Limitation of Liability,Limitation of Liability|Confidentiality,True,unlimited liability|non-disclosure,21,0.8,0.75,0.4,0.68,66.6,Medium,Validation,Synthetic
17,CTR-10017,The parties submit to the exclusive jurisdiction of courts located in New York.,Governing Law,Governing Law,False,exclusive jurisdiction,13,0.2,0.75,0.12,0.15,28.0,Low,Validation,Synthetic
18,CTR-10018,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.84,0.29,0.24,42.9,Low,Test,Synthetic
19,CTR-10019,Coverage shall include commercial general liability insurance issued by a reputable carrier.,Insurance,Insurance,False,commercial general liability insurance,12,0.6,0.71,0.33,0.34,50.2,Medium,Test,Synthetic
20,CTR-10020,Coverage shall include commercial general liability insurance issued by a reputable carrier.,Insurance,Insurance,False,commercial general liability insurance,12,0.6,0.77,0.38,0.36,53.1,Medium,Test,Synthetic
21,CTR-10021,Either party may material breach this agreement upon 15 days written notice.,Termination,Termination,False,material breach,12,0.6,0.73,0.53,0.45,57.9,Medium,Train,Synthetic
22,CTR-10022,Either party may termination for convenience this agreement upon 30 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.77,0.36,0.6,57.4,Medium,Train,Synthetic
23,CTR-10023,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.79,0.27,0.22,41.0,Low,Train,Synthetic
24,CTR-10024,Supplier accepts liability cap for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,liability cap,12,0.8,0.9,0.6,0.57,72.4,High,Train,Synthetic
25,CTR-10025,The aggregate liability cap shall not exceed fees paid during the prior 24 months.,Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.65,0.48,0.48,62.6,Medium,Train,Synthetic
26,CTR-10026,Assignment following a prior written consent requires notice to the customer.,Assignment,Assignment,False,prior written consent,11,0.4,0.64,0.18,0.21,35.5,Low,Train,Synthetic
27,CTR-10027,The recipient must not disclose non-disclosure to any third party without prior written consent.,Confidentiality,Confidentiality,False,non-disclosure,15,0.4,0.71,0.24,0.21,38.4,Low,Train,Synthetic
28,CTR-10028,The parties submit to the exclusive jurisdiction of courts located in Texas. The parties shall comply with applicable personal data and maintain appropriate safeguards.,Governing Law,Governing Law|Data Privacy,True,exclusive jurisdiction|personal data,24,0.8,0.85,0.49,0.43,65.8,Medium,Train,Synthetic
29,CTR-10029,Interpretation shall follow the governed by New Jersey.,Governing Law,Governing Law,False,governed by,8,0.2,0.85,0.15,0.07,29.1,Low,Train,Synthetic
30,CTR-10030,"This agreement is laws of the State of Delaware, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,laws of,16,0.2,0.85,0.19,0.12,31.1,Low,Train,Synthetic
31,CTR-10031,The aggregate consequential damages shall not exceed fees paid during the prior 6 months.,Limitation of Liability,Limitation of Liability,False,consequential damages,14,0.8,0.88,0.58,0.55,71.1,High,Train,Synthetic
32,CTR-10032,Either party may material breach this agreement upon 60 days written notice.,Termination,Termination,False,material breach,12,0.6,0.74,0.32,0.44,52.6,Medium,Train,Synthetic
33,CTR-10033,"Neither party is liable for indirect or liability cap, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.88,0.36,0.48,64.2,Medium,Train,Synthetic
34,CTR-10034,"Neither party is liable for indirect or unlimited liability, except where prohibited by law. Interpretation shall follow the laws of Texas.",Limitation of Liability,Limitation of Liability|Governing Law,True,unlimited liability|laws of,21,0.8,0.65,0.48,0.67,66.4,Medium,Train,Synthetic
35,CTR-10035,Each party shall protect proprietary information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,proprietary information,18,0.4,0.9,0.48,0.22,48.4,Medium,Validation,Synthetic
36,CTR-10036,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.7,0.23,0.23,38.3,Low,Validation,Synthetic
37,CTR-10037,"A party may terminate immediately for an uncured termination for convenience. Upon request, Supplier shall provide a current commercial general liability insurance.",Termination,Termination|Insurance,True,termination for convenience|commercial general liability insurance,22,0.6,0.86,0.41,0.59,60.2,Medium,Validation,Synthetic
38,CTR-10038,The parties submit to the laws of of courts located in New Jersey.,Governing Law,Governing Law,False,laws of,13,0.2,0.74,0.3,0.11,31.5,Low,Test,Synthetic
39,CTR-10039,"Assignment following a assign requires notice to the customer. This agreement is exclusive jurisdiction the State of Delaware, without regard to conflict-of-law principles.",Assignment,Assignment|Governing Law,True,assign|exclusive jurisdiction,25,0.4,0.7,0.32,0.25,41.0,Low,Test,Synthetic
40,CTR-10040,Customer may exercise terminate without cause by providing written notice. The parties submit to the laws of of courts located in Delaware.,Termination,Termination|Governing Law,True,terminate|laws of,22,0.6,0.88,0.48,0.32,57.0,Medium,Test,Synthetic
41,CTR-10041,The parties submit to the exclusive jurisdiction of courts located in Delaware.,Governing Law,Governing Law,False,exclusive jurisdiction,12,0.2,0.94,0.2,0.14,33.6,Low,Train,Synthetic
42,CTR-10042,Obligations concerning confidential information survive termination for 7 years.,Confidentiality,Confidentiality,False,confidential information,9,0.4,0.8,0.24,0.3,42.0,Low,Train,Synthetic
43,CTR-10043,"This agreement is laws of the State of Delaware, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,laws of,16,0.2,0.82,0.09,0.22,30.0,Low,Train,Synthetic
44,CTR-10044,Either party may termination for convenience this agreement upon 90 days written notice. Participation in a restricted period during the term requires prior approval.,Termination,Termination|Non-Compete,True,termination for convenience|restricted period,24,1.0,0.77,0.69,0.75,82.7,High,Train,Synthetic
45,CTR-10045,"This agreement is laws of the State of Delaware, without regard to conflict-of-law principles. Supplier shall maintain commercial general liability insurance with limits of at least $1,000,000 during the term.",Governing Law,Governing Law|Insurance,True,laws of|commercial general liability insurance,34,0.6,0.6,0.39,0.45,51.8,Medium,Train,Synthetic
46,CTR-10046,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,non-disclosure,18,0.4,0.87,0.14,0.31,41.1,Low,Train,Synthetic
47,CTR-10047,Supplier shall obtain prior written consent before transferring its obligations.,Assignment,Assignment,False,prior written consent,10,0.4,0.83,0.28,0.21,41.8,Low,Train,Synthetic
48,CTR-10048,Coverage shall include commercial general liability insurance issued by a reputable carrier.,Insurance,Insurance,False,commercial general liability insurance,12,0.6,0.92,0.32,0.36,54.6,Medium,Train,Synthetic
49,CTR-10049,Coverage shall include commercial general liability insurance issued by a reputable carrier.,Insurance,Insurance,False,commercial general liability insurance,12,0.6,0.78,0.43,0.39,55.2,Medium,Train,Synthetic
50,CTR-10050,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,non-disclosure,18,0.4,0.91,0.26,0.25,43.7,Low,Train,Synthetic
51,CTR-10051,The recipient must not disclose proprietary information to any third party without prior written consent.,Confidentiality,Confidentiality,False,proprietary information,15,0.4,0.97,0.49,0.25,50.6,Medium,Train,Synthetic
52,CTR-10052,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know. Supplier shall process security incident only on documented instructions from Customer.,Confidentiality,Confidentiality|Data Privacy,True,non-disclosure|security incident,29,0.8,0.59,0.63,0.73,70.2,High,Train,Synthetic
53,CTR-10053,Either party may termination for convenience this agreement upon 60 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.94,0.22,0.46,54.5,Medium,Train,Synthetic
54,CTR-10054,Interpretation shall follow the exclusive jurisdiction New York.,Governing Law,Governing Law,False,exclusive jurisdiction,8,0.2,0.73,0.12,0.16,27.8,Low,Train,Synthetic
55,CTR-10055,A party may terminate immediately for an uncured termination for convenience.,Termination,Termination,False,termination for convenience,11,0.6,0.69,0.33,0.47,52.4,Medium,Validation,Synthetic
56,CTR-10056,"Neither party is liable for indirect or unlimited liability, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.73,0.41,0.64,65.6,Medium,Validation,Synthetic
57,CTR-10057,"Neither party is liable for indirect or liability cap, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.83,0.35,0.53,63.9,Medium,Validation,Synthetic
58,CTR-10058,Supplier shall obtain assign before transferring its obligations. Customer may exercise terminate without cause by providing written notice.,Assignment,Assignment|Termination,True,assign|terminate,18,0.6,0.73,0.41,0.45,54.9,Medium,Test,Synthetic
59,CTR-10059,A party may terminate immediately for an uncured material breach.,Termination,Termination,False,material breach,10,0.6,0.67,0.31,0.45,51.2,Medium,Test,Synthetic
60,CTR-10060,The parties submit to the laws of of courts located in Delaware.,Governing Law,Governing Law,False,laws of,12,0.2,0.84,0.15,0.16,30.8,Low,Test,Synthetic
61,CTR-10061,"This agreement is exclusive jurisdiction the State of Texas, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,exclusive jurisdiction,16,0.2,0.86,0.2,0.18,32.8,Low,Train,Synthetic
62,CTR-10062,Obligations concerning confidential information survive termination for 2 years. A party may terminate immediately for an uncured terminate.,Confidentiality,Confidentiality|Termination,True,confidential information|terminate,18,0.6,0.65,0.38,0.32,49.9,Medium,Train,Synthetic
63,CTR-10063,Assignment following a prior written consent requires notice to the customer.,Assignment,Assignment,False,prior written consent,11,0.4,0.9,0.13,0.32,41.6,Low,Train,Synthetic
64,CTR-10064,A party may terminate immediately for an uncured terminate.,Termination,Termination,False,terminate,9,0.6,0.78,0.26,0.34,49.9,Medium,Train,Synthetic
65,CTR-10065,"Supplier shall maintain certificate of insurance with limits of at least $2,000,000 during the term.",Insurance,Insurance,False,certificate of insurance,17,0.6,0.78,0.29,0.41,52.0,Medium,Train,Synthetic
66,CTR-10066,Neither party may prior written consent this agreement without the other party’s prior written consent.,Assignment,Assignment,False,prior written consent,16,0.4,0.7,0.22,0.31,39.7,Low,Train,Synthetic
67,CTR-10067,Either party may material breach this agreement upon 15 days written notice.,Termination,Termination,False,material breach,12,0.6,0.68,0.29,0.38,49.5,Medium,Train,Synthetic
68,CTR-10068,"Neither party is liable for indirect or consequential damages, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,consequential damages,14,0.8,0.86,0.69,0.43,71.0,High,Train,Synthetic
69,CTR-10069,"Supplier shall maintain commercial general liability insurance with limits of at least $2,000,000 during the term. Supplier accepts consequential damages for losses arising from breach of security obligations.",Insurance,Insurance|Limitation of Liability,True,commercial general liability insurance|consequential damages,30,0.8,0.88,0.43,0.5,66.3,Medium,Train,Synthetic
70,CTR-10070,A party may terminate immediately for an uncured material breach.,Termination,Termination,False,material breach,10,0.6,0.88,0.23,0.41,52.6,Medium,Train,Synthetic
71,CTR-10071,Customer may exercise termination for convenience without cause by providing written notice. The parties submit to the governed by of courts located in Delaware.,Termination,Termination|Governing Law,True,termination for convenience|governed by,24,0.6,0.68,0.26,0.5,51.1,Medium,Train,Synthetic
72,CTR-10072,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.86,0.26,0.31,43.9,Low,Train,Synthetic
73,CTR-10073,The indemnifying party will defend and hold harmless the other party from covered claims.,Indemnification,Indemnification,False,defend and hold harmless,14,1.0,0.96,0.78,0.56,84.9,High,Train,Synthetic
74,CTR-10074,Neither party may change of control this agreement without the other party’s prior written consent.,Assignment,Assignment,False,change of control,16,0.4,0.96,0.26,0.19,43.5,Low,Train,Synthetic
75,CTR-10075,Obligations concerning proprietary information survive termination for 7 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.7,0.47,0.28,45.3,Medium,Validation,Synthetic
76,CTR-10076,Supplier shall process security incident only on documented instructions from Customer.,Data Privacy,Data Privacy,False,security incident,11,0.8,0.72,0.46,0.65,66.9,Medium,Validation,Synthetic
77,CTR-10077,The recipient must not disclose non-disclosure to any third party without prior written consent. Supplier accepts unlimited liability for losses arising from breach of security obligations.,Confidentiality,Confidentiality|Limitation of Liability,True,non-disclosure|unlimited liability,27,0.8,0.56,0.34,0.7,61.7,Medium,Validation,Synthetic
78,CTR-10078,Obligations concerning non-disclosure survive termination for 5 years.,Confidentiality,Confidentiality,False,non-disclosure,9,0.4,0.94,0.38,0.33,48.9,Medium,Test,Synthetic
79,CTR-10079,The recipient must not disclose non-disclosure to any third party without prior written consent.,Confidentiality,Confidentiality,False,non-disclosure,15,0.4,0.81,0.29,0.24,42.2,Low,Test,Synthetic
80,CTR-10080,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.72,0.32,0.23,41.0,Low,Test,Synthetic
81,CTR-10081,Neither party may change of control this agreement without the other party’s prior written consent.,Assignment,Assignment,False,change of control,16,0.4,0.67,0.33,0.32,42.0,Low,Train,Synthetic
82,CTR-10082,Either party may terminate this agreement upon 30 days written notice.,Termination,Termination,False,terminate,11,0.6,0.82,0.23,0.38,50.8,Medium,Train,Synthetic
83,CTR-10083,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.7,0.24,0.2,38.0,Low,Train,Synthetic
84,CTR-10084,Either party may terminate this agreement upon 45 days written notice.,Termination,Termination,False,terminate,11,0.6,0.76,0.26,0.41,50.9,Medium,Train,Synthetic
85,CTR-10085,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.69,0.37,0.37,51.4,Medium,Train,Synthetic
86,CTR-10086,Participation in a competing business during the term requires prior approval.,Non-Compete,Non-Compete,False,competing business,11,1.0,0.75,0.56,0.6,76.0,High,Train,Synthetic
87,CTR-10087,Supplier accepts consequential damages for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,consequential damages,12,0.8,0.72,0.51,0.56,66.3,Medium,Train,Synthetic
88,CTR-10088,The parties submit to the exclusive jurisdiction of courts located in California.,Governing Law,Governing Law,False,exclusive jurisdiction,12,0.2,0.84,0.2,0.18,32.4,Low,Train,Synthetic
89,CTR-10089,Supplier accepts liability cap for losses arising from breach of security obligations. Participation in a non-compete during the term requires prior approval.,Limitation of Liability,Limitation of Liability|Non-Compete,True,liability cap|non-compete,23,1.0,0.58,0.73,0.8,80.8,High,Train,Synthetic
90,CTR-10090,Either party may terminate this agreement upon 90 days written notice.,Termination,Termination,False,terminate,11,0.6,0.95,0.46,0.33,58.1,Medium,Train,Synthetic
91,CTR-10091,Supplier shall retain documentation supporting Customer’s audit records for 3 years.,Audit Rights,Audit Rights,False,audit records,12,0.6,0.92,0.33,0.43,56.2,Medium,Train,Synthetic
92,CTR-10092,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.79,0.3,0.22,41.7,Low,Train,Synthetic
93,CTR-10093,Either party may material breach this agreement upon 60 days written notice.,Termination,Termination,False,material breach,12,0.6,0.82,0.36,0.32,52.8,Medium,Train,Synthetic
94,CTR-10094,Coverage shall include certificate of insurance issued by a reputable carrier.,Insurance,Insurance,False,certificate of insurance,11,0.6,0.74,0.32,0.34,50.6,Medium,Train,Synthetic
95,CTR-10095,Obligations concerning non-disclosure survive termination for 5 years.,Confidentiality,Confidentiality,False,non-disclosure,9,0.4,0.64,0.23,0.32,38.9,Low,Validation,Synthetic
96,CTR-10096,"Neither party is liable for indirect or unlimited liability, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.95,0.54,0.6,72.5,High,Validation,Synthetic
97,CTR-10097,Supplier shall obtain change of control before transferring its obligations.,Assignment,Assignment,False,change of control,10,0.4,0.75,0.44,0.24,44.8,Low,Validation,Synthetic
98,CTR-10098,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.66,0.51,0.36,54.2,Medium,Test,Synthetic
99,CTR-10099,"Neither party is liable for indirect or unlimited liability, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.68,0.45,0.6,64.8,Medium,Test,Synthetic
100,CTR-10100,Supplier shall indemnify Customer against losses arising from intellectual property infringement.,Indemnification,Indemnification,False,indemnify,11,1.0,0.73,0.61,0.58,76.4,High,Test,Synthetic
101,CTR-10101,Supplier shall retain documentation supporting Customer’s inspection rights for 1 years.,Audit Rights,Audit Rights,False,inspection rights,12,0.6,0.8,0.39,0.32,53.2,Medium,Train,Synthetic
102,CTR-10102,A party may terminate immediately for an uncured material breach.,Termination,Termination,False,material breach,10,0.6,0.65,0.5,0.42,54.9,Medium,Train,Synthetic
103,CTR-10103,"Upon request, Supplier shall provide a current cyber insurance.",Insurance,Insurance,False,cyber insurance,9,0.6,0.64,0.4,0.41,52.0,Medium,Train,Synthetic
104,CTR-10104,Assignment following a assign requires notice to the customer.,Assignment,Assignment,False,assign,9,0.4,0.8,0.38,0.24,44.3,Low,Train,Synthetic
105,CTR-10105,"During the restricted period of 7 years, Supplier shall not provide equivalent services to named competitors.",Non-Compete,Non-Compete,False,restricted period,16,1.0,0.69,0.73,0.61,79.2,High,Train,Synthetic
106,CTR-10106,Customer may exercise termination for convenience without cause by providing written notice.,Termination,Termination,False,termination for convenience,12,0.6,0.79,0.27,0.52,53.9,Medium,Train,Synthetic
107,CTR-10107,The recipient must not disclose proprietary information to any third party without prior written consent.,Confidentiality,Confidentiality,False,proprietary information,15,0.4,0.94,0.16,0.3,42.8,Low,Train,Synthetic
108,CTR-10108,Customer may audit records on reasonable notice during normal business hours.,Audit Rights,Audit Rights,False,audit records,11,0.6,0.86,0.59,0.44,61.8,Medium,Train,Synthetic
109,CTR-10109,An independent auditor may review Supplier’s compliance once per calendar year.,Audit Rights,Audit Rights,False,independent auditor,12,0.6,0.68,0.43,0.38,53.0,Medium,Train,Synthetic
110,CTR-10110,An inspection rights may review Supplier’s compliance once per calendar year.,Audit Rights,Audit Rights,False,inspection rights,12,0.6,0.89,0.48,0.44,59.6,Medium,Train,Synthetic
111,CTR-10111,Either party may material breach this agreement upon 10 days written notice.,Termination,Termination,False,material breach,12,0.6,0.72,0.43,0.44,54.9,Medium,Train,Synthetic
112,CTR-10112,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.76,0.19,0.24,38.8,Low,Train,Synthetic
113,CTR-10113,"Neither party is liable for indirect or unlimited liability, except where prohibited by law. Supplier shall process data protection laws only on documented instructions from Customer.",Limitation of Liability,Limitation of Liability|Data Privacy,True,unlimited liability|data protection laws,26,0.8,0.58,0.32,0.65,60.6,Medium,Train,Synthetic
114,CTR-10114,"During the non-compete of 2 years, Supplier shall not provide equivalent services to named competitors.",Non-Compete,Non-Compete,False,non-compete,16,1.0,0.76,0.5,0.78,78.3,High,Train,Synthetic
115,CTR-10115,"Upon request, Supplier shall provide a current certificate of insurance.",Insurance,Insurance,False,certificate of insurance,10,0.6,0.77,0.38,0.44,54.7,Medium,Validation,Synthetic
116,CTR-10116,Either party may material breach this agreement upon 60 days written notice.,Termination,Termination,False,material breach,12,0.6,0.87,0.36,0.44,56.2,Medium,Validation,Synthetic
117,CTR-10117,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.9,0.34,0.43,56.1,Medium,Validation,Synthetic
118,CTR-10118,"Neither party is liable for indirect or unlimited liability, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.93,0.37,0.73,70.5,High,Test,Synthetic
119,CTR-10119,"This agreement is laws of the State of New Jersey, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,laws of,17,0.2,0.95,0.09,0.13,30.9,Low,Test,Synthetic
120,CTR-10120,Supplier accepts unlimited liability for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,unlimited liability,12,0.8,0.71,0.44,0.7,67.2,Medium,Test,Synthetic
121,CTR-10121,The parties submit to the exclusive jurisdiction of courts located in Texas.,Governing Law,Governing Law,False,exclusive jurisdiction,12,0.2,0.84,0.21,0.08,30.6,Low,Train,Synthetic
122,CTR-10122,"Supplier shall maintain certificate of insurance with limits of at least $5,000,000 during the term.",Insurance,Insurance,False,certificate of insurance,17,0.6,0.81,0.28,0.38,51.8,Medium,Train,Synthetic
123,CTR-10123,Supplier shall retain documentation supporting Customer’s independent auditor for 3 years.,Audit Rights,Audit Rights,False,independent auditor,12,0.6,0.95,0.33,0.34,55.0,Medium,Train,Synthetic
124,CTR-10124,Each party shall protect proprietary information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,proprietary information,18,0.4,0.94,0.45,0.31,50.2,Medium,Train,Synthetic
125,CTR-10125,The aggregate unlimited liability shall not exceed fees paid during the prior 12 months.,Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.66,0.64,0.72,71.6,High,Train,Synthetic
126,CTR-10126,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.75,0.44,0.22,44.4,Low,Train,Synthetic
127,CTR-10127,The indemnifying party will indemnify the other party from covered claims.,Indemnification,Indemnification,False,indemnify,11,1.0,0.8,0.55,0.58,76.3,High,Train,Synthetic
128,CTR-10128,Obligations concerning proprietary information survive termination for 7 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.96,0.23,0.28,44.5,Low,Train,Synthetic
129,CTR-10129,Coverage shall include certificate of insurance issued by a reputable carrier.,Insurance,Insurance,False,certificate of insurance,11,0.6,0.92,0.28,0.44,55.2,Medium,Train,Synthetic
130,CTR-10130,Coverage shall include commercial general liability insurance issued by a reputable carrier.,Insurance,Insurance,False,commercial general liability insurance,12,0.6,0.83,0.32,0.34,52.4,Medium,Train,Synthetic
131,CTR-10131,Supplier shall obtain prior written consent before transferring its obligations.,Assignment,Assignment,False,prior written consent,10,0.4,0.74,0.15,0.28,38.1,Low,Train,Synthetic
132,CTR-10132,"During the competing business of 5 years, Supplier shall not provide equivalent services to named competitors.",Non-Compete,Non-Compete,False,competing business,16,1.0,0.94,0.63,0.59,81.3,High,Train,Synthetic
133,CTR-10133,Supplier shall retain documentation supporting Customer’s inspection rights for 1 years.,Audit Rights,Audit Rights,False,inspection rights,12,0.6,0.7,0.52,0.37,55.4,Medium,Train,Synthetic
134,CTR-10134,"This agreement is governed by the State of New Jersey, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,governed by,17,0.2,0.9,0.05,0.11,28.5,Low,Train,Synthetic
135,CTR-10135,Customer may exercise termination for convenience without cause by providing written notice.,Termination,Termination,False,termination for convenience,12,0.6,0.67,0.3,0.49,51.7,Medium,Validation,Synthetic
136,CTR-10136,Either party may terminate this agreement upon 45 days written notice.,Termination,Termination,False,terminate,11,0.6,0.64,0.29,0.45,50.0,Medium,Validation,Synthetic
137,CTR-10137,"Obligations concerning non-disclosure survive termination for 1 years. This agreement is laws of the State of Delaware, without regard to conflict-of-law principles.",Confidentiality,Confidentiality|Governing Law,True,non-disclosure|laws of,25,0.4,0.8,0.32,0.3,44.0,Low,Validation,Synthetic
138,CTR-10138,Customer may independent auditor on reasonable notice during normal business hours.,Audit Rights,Audit Rights,False,independent auditor,11,0.6,0.75,0.26,0.39,50.3,Medium,Test,Synthetic
139,CTR-10139,Either party may terminate this agreement upon 30 days written notice.,Termination,Termination,False,terminate,11,0.6,0.79,0.23,0.35,49.6,Medium,Test,Synthetic
140,CTR-10140,Supplier shall notify Customer of a personal data within 24 hours. Each party shall protect proprietary information and may disclose it only to personnel with a need to know.,Data Privacy,Data Privacy|Confidentiality,True,personal data|proprietary information,29,0.8,0.63,0.52,0.53,64.2,Medium,Test,Synthetic
141,CTR-10141,The parties shall comply with applicable personal data and maintain appropriate safeguards. Neither party may assign this agreement without the other party’s prior written consent.,Data Privacy,Data Privacy|Assignment,True,personal data|assign,26,0.8,0.64,0.4,0.55,61.8,Medium,Train,Synthetic
142,CTR-10142,"This agreement is governed by the State of New Jersey, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,governed by,17,0.2,0.89,0.1,0.13,29.9,Low,Train,Synthetic
143,CTR-10143,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.92,0.39,0.46,58.4,Medium,Train,Synthetic
144,CTR-10144,The parties submit to the laws of of courts located in New York.,Governing Law,Governing Law,False,laws of,13,0.2,0.86,0.08,0.19,30.0,Low,Train,Synthetic
145,CTR-10145,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.89,0.32,0.29,45.6,Medium,Train,Synthetic
146,CTR-10146,Neither party may prior written consent this agreement without the other party’s prior written consent.,Assignment,Assignment,False,prior written consent,16,0.4,0.66,0.15,0.24,35.8,Low,Train,Synthetic
